City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,kloulklubed,7.0419,134.2556,297.43,78,99,9.05,PW,1674367198
306,tanete,-3.9443,119.7848,304.43,58,93,4.86,ID,1674367199
307,saint-pierre,-21.3393,55.4781,301.97,70,0,5.14,RE,1674367199
308,maraba,-5.3686,-49.1178,298.25,100,40,2.06,BR,1674367199
309,faya,18.3851,42.4509,285.21,56,4,1.12,SA,1674367199
310,passo de camaragibe,-9.2368,-35.4901,295.9,90,12,1.57,BR,1674367199
311,cocobeach,1.0002,9.5823,299.28,82,97,1.52,GA,1674367200
312,mongo,12.1844,18.693,295.34,21,100,2.49,TD,1674367200
313,san jose,37.3394,-121.895,282.15,71,0,1.34,US,1674367103
314,bhachau,23.2833,70.35,294.53,39,0,7.3,IN,1674367155
315,trincomalee,8.5711,81.2335,298.72,78,100,4.63,LK,1674367200
316,krasnoselkup,65.7,82.4667,254.21,96,100,9.54,RU,1674367200
317,pictou,45.6834,-62.7153,270.84,80,99,9.77,CA,1674367200
318,narsaq,60.9167,-46.05,254.4,64,32,5.32,GL,1674367200
319,vardo,70.3705,31.1107,272.37,78,100,13.37,NO,1674367201
320,port hedland,-20.3167,118.5667,308.18,49,8,5.66,AU,1674367201
321,flin flon,54.7682,-101.865,260.8,99,99,2.01,CA,1674367201
322,yinchuan,38.4681,106.2731,271.34,23,0,2.64,CN,1674367201
323,wyndham,37.6985,-77.6125,274.79,79,100,2.05,US,1674367202
324,meulaboh,4.1363,96.1285,302.02,63,86,2.09,ID,1674367202
325,holetown,13.1867,-59.6381,297.84,73,91,7.52,BB,1674367202
326,mizdah,31.4451,12.9801,279.2,63,0,2.67,LY,1674367203
327,ambilobe,-13.2,49.05,300.1,77,96,2.16,MG,1674367203
328,cockburn town,21.4612,-71.1419,298.13,74,6,7.93,TC,1674367203
329,san quintin,30.4833,-115.95,285.62,56,0,1.5,MX,1674367203
330,ballina,-28.8667,153.5667,300.25,72,54,4.57,AU,1674367204
331,halifax,44.6453,-63.5724,266.76,90,87,0.89,CA,1674367201
332,college,64.8569,-147.8028,252.12,71,75,3.09,US,1674367204
333,half moon bay,37.4636,-122.4286,283.61,71,0,0.0,US,1674367205
334,muisne,0.6,-80.0333,297.35,85,57,1.69,EC,1674367206
335,yar-sale,66.8333,70.8333,262.43,96,100,1.55,RU,1674367207
336,maceio,-9.6658,-35.7353,295.84,94,0,1.54,BR,1674367207
337,bobrovka,54.047,61.7455,262.45,78,41,2.58,RU,1674367207
338,clonakilty,51.6231,-8.8706,282.71,95,100,6.54,IE,1674367207
339,hithadhoo,-0.6,73.0833,300.44,75,44,5.39,MV,1674367208
340,fuling,29.7022,107.3919,281.7,70,95,0.19,CN,1674367208
341,warrington,53.3925,-2.5802,275.07,91,100,3.09,GB,1674367208
342,bathsheba,13.2167,-59.5167,297.34,76,95,6.94,BB,1674367209
343,jalu,29.0331,21.5482,283.55,51,34,3.56,LY,1674367210
344,raton,36.9034,-104.4391,265.34,97,76,0.84,US,1674367211
345,phan thiet,10.9333,108.1,303.45,57,90,6.51,VN,1674366998
346,ambalavao,-21.8333,46.9333,292.4,96,100,1.76,MG,1674367211
347,semaria,24.3073,79.9718,296.86,42,82,2.02,IN,1674367211
348,morondava,-20.2833,44.2833,300.6,67,100,3.25,MG,1674367211
349,kota tinggi,1.7381,103.8999,302.67,72,58,2.51,MY,1674367212
350,inverell,-29.7833,151.1167,301.3,36,82,2.24,AU,1674367212
351,camopi,3.1655,-52.3158,294.56,100,99,0.87,GF,1674367213
352,consett,54.854,-1.8316,270.86,90,94,2.01,GB,1674367213
353,saraipali,21.3333,83.0,300.62,33,2,2.09,IN,1674367213
354,falkenberg,56.9055,12.4912,269.96,100,6,3.43,SE,1674367213
355,iskilip,40.7353,34.4739,278.64,56,0,0.56,TR,1674367213
356,xai-xai,-25.0519,33.6442,301.95,62,23,2.51,MZ,1674367213
357,elk city,35.412,-99.4043,275.27,80,100,8.23,US,1674367214
358,sobolevo,54.4299,31.8996,272.88,88,100,2.73,RU,1674367215
359,jieshi,22.8134,115.8257,292.78,74,96,2.25,CN,1674367215
360,amol,36.4696,52.3507,280.81,65,64,0.37,IR,1674367215
361,elati,39.9801,21.8219,275.1,89,4,0.8,GR,1674367216
362,chitrakonda,18.1167,82.0833,302.55,28,16,1.83,IN,1674366979
363,itambe,-15.245,-40.6244,293.82,98,96,0.19,BR,1674367216
364,margate,51.3813,1.3862,277.98,73,15,2.24,GB,1674367217
365,saint-philippe,-21.3585,55.7679,301.92,80,94,3.92,RE,1674367217
